KLAC,YAHOO,KLA-Tencor Corporation,United States,Technology,Semiconductor Equipment & Materials
TER,YAHOO,Teradyne Inc.,United States,Technology,Semiconductor Equipment & Materials
FTR,YAHOO,Frontier Communications Corporation,United States,Technology,Telecom Services - Domestic
VZ,YAHOO,Verizon Communications Inc.,United States,Technology,Telecom Services - Domestic
S,YAHOO,Sprint Corporation,United States,Technology,Wireless Communications
APD,YAHOO,Air Products and Chemicals, Inc.,United States,Basic Materials
CF,YAHOO,CF Industries Holdings, Inc.,United States,Basic Materials
DO,YAHOO,Diamond Offshore Drilling, Inc.,United States,Basic Materials
EOG,YAHOO,EOG Resources, Inc.,United States,Basic Materials
FTI,YAHOO,FMC Technologies, Inc.,United States,Basic Materials
HP,YAHOO,Helmerich & Payne, Inc.,United States,Basic Materials
NBL,YAHOO,Noble Energy, Inc.,United States,Basic Materials
NOV,YAHOO,National Oilwell Varco, Inc.,United States,Basic Materials
PPG,YAHOO,PPG Industries, Inc.,United States,Basic Materials
QEP,YAHOO,QEP Resources, Inc.,United States,Basic Materials
WMB,YAHOO,Williams Companies, Inc.,United States,Basic Materials
WPX,YAHOO,WPX Energy, Inc.,United States,Basic Materials
BMS,YAHOO,Bemis Company, Inc.,United States,Consumer Goods
CAG,YAHOO,ConAgra Foods, Inc.,United States,Consumer Goods
COH,YAHOO,Coach, Inc.,United States,Consumer Goods
DPS,YAHOO,Dr Pepper Snapple Group, Inc.,United States,Consumer Goods
GIS,YAHOO,General Mills, Inc.,United States,Consumer Goods
HAR,YAHOO,Harman International Industries, Incorporated,United States,Consumer Goods
HOG,YAHOO,Harley-Davidson, Inc.,United States,Consumer Goods
LEG,YAHOO,Leggett & Platt, Incorporated,United States,Consumer Goods
MAT,YAHOO,Mattel, Inc.,United States,Consumer Goods
MDLZ,YAHOO,Mondelez International, Inc.,United States,Consumer Goods
MKC,YAHOO,McCormick & Company, Incorporated,United States,Consumer Goods
MO,YAHOO,Altria Group, Inc.,United States,Consumer Goods
NKE,YAHOO,NIKE, Inc.,United States,Consumer Goods
OI,YAHOO,Owens-Illinois, Inc.,United States,Consumer Goods
PEP,YAHOO,Pepsico, Inc.,United States,Consumer Goods
PM,YAHOO,Philip Morris International, Inc.,United States,Consumer Goods
TSN,YAHOO,Tyson Foods, Inc.,United States,Consumer Goods
AIG,YAHOO,American International Group, Inc.,United States,Financial
AIZ,YAHOO,Assurant, Inc.,United States,Financial
AMP,YAHOO,Ameriprise Financial, Inc.,United States,Financial
AVB,YAHOO,AvalonBay Communities, Inc.,United States,Financial
BEN,YAHOO,Franklin Resources, Inc.,United States,Financial
BLK,YAHOO,BlackRock, Inc.,United States,Financial
CBG,YAHOO,CBRE Group, Inc.,United States,Financial
FII,YAHOO,Federated Investors, Inc.,United States,Financial
GNW,YAHOO,Genworth Financial, Inc.,United States,Financial
GS,YAHOO,The Goldman Sachs Group, Inc.,United States,Financial
HCP,YAHOO,HCP, Inc.,United States,Financial
